Course ID,Cource Chinese Name,Course English Name,Teacher Chinese Name,Teacher English Name,Max Student Number,GPA,Standard Deviation
11110MS 102103,材料科學與工程一,Material Science and Engineering I 	,"廖建能 LIAO, CHIEN-NENG",69,75.39,16.26
11110MS 103100,普通化學一,General Chemistry (I) 	,"徐文光 HSU, WEN-KUANG",136,80.75,9.82
11110MS 201101,工程數學一,Engineering Mathematics I 	,"李奕賢 LEE, YI-HSIEN",64,75.61,10.78
11110MS 201102,工程數學一,Engineering Mathematics I 	,"李奕賢 LEE, YI-HSIEN",85,69.60,16.78
11110MS 202100,材料熱力學一,Thermodynamics of Materials I 	,"陳翰儀 CHEN, HAN-YI",164,74.72,12.40
11110MS 204100,結晶繞射概論,Introduction to Crystal Structure and Diffraction Theories 	,"蔡哲正 TSAI, CHO-JEN",159,2.85,1.20
11110MS 205100,電工原理,Principles of Electrical Engineering 	,"林鶴南 LIN, HEH-NAN",82,76.65,12.70
11110MS 300301,材料實驗一,Laboratories of Materials I 	,"顏宏 YEN, HUNG",21,89.10,2.83
11110MS 300302,材料實驗一,Laboratories of Materials I 	,"顏宏 YEN, HUNG",48,88.19,2.62
11110MS 302100,機械性質,Mechanical Properties 	,"陳柏宇 CHEN, PO-YU",140,82.18,11.51
11110MS 303201,材料實驗二,Laboratories of Materials II 	,"羅韶奇 LO, SHAO-CHI",37,3.89,0.30
11110MS 303202,材料實驗二,Laboratories of Materials II 	,"陳翰儀 CHEN, HAN-YI",20,76.25,7.36
11110MS 307100,量子物理導論,Introduction to Quantum Physics 	,"賴志煌 LAI, CHIH-HUANG",109,2.96,1.26
11110MS 308100,金屬材料,Metallic Materials 	,"張守一 CHANG, SHOU-YI",124,80.86,7.86
11110MS 309200,電子材料,Electronic Materials 	,"林姿瑩 LIN, TZU-YING",134,3.37,0.77
11110MS 401100,材料科學專題一,Special Topics on Materials Science I 	,"指導教授 ",85,4.19,0.20
11110MS 402100,製造工程學一,Manufacturing Engineering and Technology (I) 	,"葉均蔚 YEH, JIEN-WEI",141,86.21,10.16
11110MS 404100,薄膜工程,Thin Film Engineering 	,"周麗新 CHOU, LIH-HSIN",36,83.00,8.33
11110MS 412000,有機化學,Organic Chemistry 	,"龔佩雲 KENG, PEI-YUIN",34,3.47,0.64
11110MS 413100,生醫材料,Biomedical Materials 	,"王子威 WANG, TZU-WEI",69,85.36,10.97
11110MS 435200,應用光電子學,Applied Photonics 	,"呂明諺 LU, MING-YEN",25,82.68,11.34
11110MS 441100,業界導師講座,The Lectures on Industrial Mentor Program 	,"陳學仕 CHEN, HSUEH-SHIH",53,86.47,5.19
11110MS 463500,工程倫理,Engineering Ethics 	,"周卓煇 JOU, JWO-HUEI",98,88.54,8.85
11110MS 500000,書報討論,Seminar 	,"朱英豪 CHU, YING-HAO",166,85.97,3.18
11110MS 501100,固態熱力學,Thermodynamics of Solid State 	,"彭宗平 PERNG, TSONG-PYNG",77,2.99,1.09
11110MS 502100,電子顯微鏡學,Transmission Electron Microscopy 	,"闕郁倫 CHUEH, YU-LUN",137,3.83,0.66
11110MS 503100,Ｘ光繞射結晶學,X-Ray Crystallography 	,"歐陽浩 OUYANG, HAO",5,2.82,1.48
11110MS 504100,材料動力學,Kinetic Process of Materials 	,"陳盈潔 CHEN, YING-CHIEH",91,3.32,0.71
11110MS 505100,物理冶金,Physical Metallurgy 	,"蔡哲瑋 TSAI, TSE-WEI",12,4.04,0.31
11110MS 507400,鋼鐵與其他合金製程與應用特論,Special Topics on Steel and Non-ferrous Alloys Processing 	,"蔡哲瑋 TSAI, TSE-WEI",63,3.81,0.50
11110MS 509100,陶瓷製程,Ceramic Processing 	,"李嘉甄 LI, CHIA-CHEN",28,86.36,7.31
11110MS 518300,天然高分子材料,Natural Polymeric Materials 	,"楊長謀 YANG, ARNOLD CHANG-MOU",32,87.09,4.54
11110MS 527100,光電材料,Photonic Materials 	,"楊長謀 YANG, ARNOLD CHANG-MOU",35,82.11,6.91
11110MS 539200,有機光電半導體物理,Physics of Organic optoelectronic semiconductors 	,"林皓武 LIN, HAO-WU",23,3.89,0.89
11110MS 574000,材料科學與能源科技,Materials Science in Energy Technology 	,"葉哲寧 YEH, CHE-NING",37,80.46,8.23
11110MS 574100,能源材料,Energy Materials 	,"吳志明 WU, JYH-MING",39,83.49,8.41
11110MS 575000,掃瞄式電子顯微鏡技術與分析,Technique and Analysis for Scanning Electron Microscopy 	,"杜正恭 DUH, JENQ-GONG",99,3.54,0.57
11110NEMS500000 書報討論,Seminar,	,"馮國華 FENG, GUO-HUA",37,81.84,7.99
11110NEMS510000 微奈米科技,Micro,& Nano Technology 	,"賴梅鳳 LAI, MEI-FENG, 陳致真 CHEN, CHIH-CHEN, 森川響二朗 KYOJIRO MORIKAWA, 饒達仁 YAO, DA-JENG",61,81.10,7.82
11110NEMS550100 高分子微奈米系統技術,Polymer,Micro/Nano System Technology 	,"傅建中 FU, CHIEN-CHUNG",18,3.74,0.32
11110NEMS582000 軟性電子元件與系統,Flexible,Electronics and Systems 	,"羅丞曜 LO, CHENG-YAO",24,83.38,7.50
11110NEMS583300 固態電子理論,Electron,Theory in Solids 	,"王玉麟 WANG, YU-LIN",4,3.90,0.53
11110NEMS584000 生醫微奈米機電,BioMEMS,& BioNEMS 	,"陳致真 CHEN, CHIH-CHEN",27,81.19,6.86
11110NEMS586000 光學傳感器,Optics,Transducers 	,"王威智 WANG, WEI-CHIH",7,81.00,5.63
11110NEMS587000 分子分離與辨識之用於量測分析,Molecular,Separation and Recognition for Detection and Analysis 	,"森川響二朗 KYOJIRO MORIKAWA",14,82.29,8.96
11110NEMS588000 光譜學與光學量測分析,Spectroscopic,and Optical Detection and Analysis 	,"北森武彥 Takehiko Kitamori",12,85.42,6.03
11110NES 500000,專題演講,Colloquium 	,"藍貫哲 LAN, KUAN-CHE",56,4.04,0.18
11110NES 507000,核能後端營運,Management of Nuclear Backend 	,"黃慶村 HUANG, CHING-TSUEN",5,80.60,5.39
11110NES 523000,輻射生物學,Radiation Biology 	,"陳芳馨 FANG-HSIN CHEN",18,83.33,4.42
11110NES 524000,輻射劑量學,Radiation Dosimetry 	,"蔡惠予 TSAI, HUI-YU",18,84.94,6.45
11110NES 525300,放射治療物理實驗,Radiation Therapy Physics Laboratory Course 	,"王駿瑋 WANG, CHUN-WEI, 林昌勳 LIN, CHANG-SHIUN",3,4.20,0.14
11110NES 525500,醫學影像物理學二,Medical Imaging Physics II 	,"馮凊媺 CHING-MEI FENG",5,85.00,5.33
11110NES 525700,臨床質子放射治療實務,Practical Proton Beam Therapy 	,"陳俊丞 CHEN, CHIN-CHENG",24,87.29,6.06
11110NES 525800,解剖生理學,Anatomy and physiology 	,"劉昌憲 LIU, CHANG-HSIEN",9,90.11,3.48
11110NES 541000,反應器工程,Nuclear Reactor Engineering 	,"陳紹文 CHEN, SHAO-WEN",21,88.48,9.34
11110NES 563000,材料輻射損傷,Radiation Damage in Materials 	,"藍貫哲 LAN, KUAN-CHE",12,85.58,6.02
11110NES 598003,書報討論,Seminar 	,"陳芳馨 FANG-HSIN CHEN",14,83.71,4.95
11110NES 598004,書報討論,Seminar 	,"馮玉明 FERNG, YUH-MING",6,89.33,3.04
11110NES 598005,書報討論,Seminar 	,"陳紹文 CHEN, SHAO-WEN",31,4.09,0.23
11110PE 111001,大一體育,Physical Education 	,"吳德成 WU, TE-CHENG",71,82.56,14.23
11110PE 111002,大一體育,Physical Education 	,"林國威 LIN, KUO-WEI",48,82.44,4.40
11110PE 111003,大一體育,Physical Education 	,"李大麟 LEE, TA-LIN",53,83.53,4.38
11110PE 111004,大一體育,Physical Education 	,"鄭為仁 CHENG, WEI-JEN",51,93.16,4.74
11110PE 111005,大一體育,Physical Education 	,"李柏均 LEE, PO-CHUN",77,3.90,0.52
11110PE 111006,大一體育,Physical Education 	,"徐志翔 HSU, CHIH-HSIANG",69,3.86,0.45
11110PE 111007,大一體育,Physical Education 	,"陳國華 TAN KOK HWA",28,4.09,0.24
11110PE 111008,大一體育,Physical Education 	,"周宜辰 CHOU, YI-CHEN",44,2.94,0.89
11110PE 111009,大一體育,Physical Education 	,"張祐華 CHANG, YU-HUA",50,81.72,7.81
11110PE 111010,大一體育,Physical Education 	,"劉振華 FIU, CHEN-HUA",55,79.25,7.92
11110PE 111011,大一體育,Physical Education 	,"張祐華 CHANG, YU-HUA",44,80.57,7.89
11110PE 111012,大一體育,Physical Education 	,"李柏均 LEE, PO-CHUN",45,4.17,0.19
11110PE 111013,大一體育,Physical Education 	,"劉振華 FIU, CHEN-HUA",37,80.41,5.81
11110PE 111014,大一體育,Physical Education 	,"戴偉國 DAI, WEI-KUO",41,3.43,0.77
11110PE 111015,大一體育,Physical Education 	,"鄭為仁 CHENG, WEI-JEN",51,87.55,6.85
11110PE 111016,大一體育,Physical Education 	,"梁嘉文 LIANG,CHIA-WEN",34,4.26,0.10
11110PE 111017,大一體育,Physical Education 	,"周宜辰 CHOU, YI-CHEN",59,2.94,0.54
11110PE 111018,大一體育,Physical Education 	,"張祐華 CHANG, YU-HUA",64,82.30,11.78
11110PE 111019,大一體育,Physical Education 	,"邱得全 CHIU,TE-CHUAN",63,90.52,9.56
11110PE 111020,大一體育,Physical Education 	,"戴偉國 DAI, WEI-KUO",63,3.54,0.66
11110PE 111021,大一體育,Physical Education 	,"簡敏惠 CHIEN, MIN-HUI",69,85.93,4.28
11110PE 111022,大一體育,Physical Education 	,"林琨瀚 LIN, KUN-HAN",57,3.85,0.16
11110PE 111023,大一體育,Physical Education 	,"謝佩君 HSIEH, PEI-CHUN",51,80.12,5.97
11110PE 111024,大一體育,Physical Education 	,"施惠方 SZU, HUI-FANG",60,90.53,5.91
11110PE 111025,大一體育,Physical Education 	,"謝文偉 HSIEH, WEN-WEI",63,3.59,0.41
11110PE 111026,大一體育,Physical Education 	,"許仁豪 HSU,JEN-HAO",44,76.80,7.57
11110PE 111027,大一體育,Physical Education 	,"王嬿婷 WANG, YEN-TING",42,83.64,2.72
11110PE 111028,大一體育,Physical Education 	,"施惠方 SZU, HUI-FANG",42,88.55,4.58
11110PE 111029,大一體育,Physical Education 	,"邱得全 CHIU,TE-CHUAN",44,90.14,8.08
11110PE 111030,大一體育,Physical Education 	,"林琨瀚 LIN, KUN-HAN",40,3.89,0.15
11110PE 111031,大一體育,Physical Education 	,"戴偉國 DAI, WEI-KUO",57,3.45,0.59
11110PE 111032,大一體育,Physical Education 	,"謝文偉 HSIEH, WEN-WEI",58,3.63,0.29
11110PE 111033,大一體育,Physical Education 	,"劉振華 FIU, CHEN-HUA",33,82.30,4.72
11110PE 111034,大一體育,Physical Education 	,"簡敏惠 CHIEN, MIN-HUI",46,88.96,4.08
11110PE 111035,大一體育,Physical Education 	,"許仁豪 HSU,JEN-HAO",32,75.31,7.02
11110PE 111036,大一體育,Physical Education 	,"曾鈺婷 TSENG, YU-TING",19,88.21,8.10
11110PE 111037,大一體育,Physical Education 	,"高子人 KAO,TZU-JEN",46,86.35,3.82
11110PE 111038,大一體育,Physical Education 	,"何吉星 HE,CHI-HSING",37,86.86,5.04
11110PE 111039,大一體育,Physical Education 	,"高子人 KAO,TZU-JEN",43,88.05,1.24
11110PE 111040,大一體育,Physical Education 	,"王嬿婷 WANG, YEN-TING",42,81.38,3.50
11110PE 111041,大一體育,Physical Education 	,"林家傑 LIN, CHIA-CHIEH",39,88.15,6.15
11110PE 111042,大一體育,Physical Education 	,"王俊盛 WANG, CHUN-SHENG",41,4.13,0.19
11110PE 111043,大一體育,Physical Education 	,"林家傑 LIN, CHIA-CHIEH",40,92.70,3.71
11110PE 111044,大一體育,Physical Education 	,"余成煌 YU, CHEN-HUANG",37,4.09,0.38
11110PE 111045,大一體育,Physical Education 	,"謝佩君 HSIEH, PEI-CHUN",40,73.00,13.44
11110PE 111046,大一體育,Physical Education 	,"王俊盛 WANG, CHUN-SHENG",35,4.11,0.29
11110PE 205001,核心肌力,Core Strength 	,"李柏均 LEE, PO-CHUN",37,3.96,0.53
11110PE 205002,桌球初學,Ping pong(basic) 	,"鄭兆光 ZHENG, ZHAO-GUANG",42,89.33,12.06
11110PE 205003,游泳初學,Swimming(basic) 	,"徐志翔 HSU, CHIH-HSIANG",29,3.61,0.83
11110PE 205004,游泳初學,Swimming(basic) 	,"李大麟 LEE, TA-LIN",35,82.26,9.94
11110PE 205005,核心肌力,Core Strength 	,"李柏均 LEE, PO-CHUN",33,4.18,0.27
11110PE 205006,桌球初學,Ping pong(basic) 	,"鄭兆光 ZHENG, ZHAO-GUANG",36,94.25,5.09
11110PE 205007,重量訓練,Weight Training 	,"周宜辰 CHOU, YI-CHEN",37,3.71,0.78
11110PE 205008,慢壘,Softball 	,"徐志翔 HSU, CHIH-HSIANG",36,3.78,0.72
11110PE 205009,跆拳道,Tae kwon do 	,"戴偉國 DAI, WEI-KUO",37,3.37,0.96
11110PE 205010,射擊初學,Shooting 	,"葉志俊 YEH, CHIH-CHUN",19,86.42,8.51
11110PE 205011,核心肌力,Core Strength 	,"林國威 LIN, KUO-WEI",37,78.22,15.17
11110PE 205012,射擊初學,Shooting 	,"葉志俊 YEH, CHIH-CHUN",20,88.10,6.88
11110PE 205013,桌球初學,Ping pong(basic) 	,"鄭兆光 ZHENG, ZHAO-GUANG",39,91.92,9.27
11110PE 205014,健走體適能,Exercise walking and Physical fitness 	,"張祐華 CHANG, YU-HUA",39,86.95,3.30
11110PE 205015,核心肌力,Core Strength 	,"林國威 LIN, KUO-WEI",35,78.86,4.30
11110PE 205016,籃球進階,Basketball(advance) 	,"謝文偉 HSIEH, WEN-WEI",35,3.44,0.52
11110PE 205017,桌球初學,Ping pong(basic) 	,"鄭兆光 ZHENG, ZHAO-GUANG",37,93.84,7.56
11110PE 205018,游泳初學,Swimming(basic) 	,"李大麟 LEE, TA-LIN",35,80.29,11.99
11110PE 205019,排球,Volleyball 	,"施惠方 SZU, HUI-FANG",39,82.74,12.16
11110PE 205020,速度、敏捷及反應訓練,Speed, agility and quickness training 	,"張祐華 CHANG, YU-HUA",34,87.82,4.18
11110PE 205021,重量訓練,Weight Training 	,"周宜辰 CHOU, YI-CHEN",36,3.63,0.57
11110PE 205022,定向越野,Orienteering 	,"余杰霖 YU, CHIEH-LIN",37,4.08,0.24
11110PE 205023,太極拳中級,Tai Chi (Intermediate) 	,"張耀庭 CHANG, YAO-TING",31,3.75,0.83
11110PE 205024,羽球初學,Badminton 	,"許仁豪 HSU,JEN-HAO",35,75.86,9.03
11110PE 205025,網球進階,Tennis(advance) 	,"鄭為仁 CHENG, WEI-JEN",28,88.36,5.70
11110PE 205026,足球(女),football 	,"張凱翔 CHANG, KAI-HSIANG",29,4.01,0.23
11110PE 205027,羽球進階,Badminton(advance) 	,"許仁豪 HSU,JEN-HAO",36,76.47,9.81
11110PE 205028,桌球初學,Ping pong(basic) 	,"吳德成 WU, TE-CHENG",39,79.85,19.59
11110PE 205029,重量訓練,Weight Training 	,"周宜辰 CHOU, YI-CHEN",38,3.90,0.32
11110PE 205030,瑜珈,Yoga 	,"張介 CHANG, CHIEH",41,82.83,13.34
11110PE 205031,游泳進階,Swimming(advance) 	,"李大麟 LEE, TA-LIN",40,82.63,8.23
11110PE 205032,太極拳,Tai Chi 	,"張耀庭 CHANG, YAO-TING",35,3.85,0.39
11110PE 205033,定向越野,Orienteering 	,"余杰霖 YU, CHIEH-LIN",39,4.14,0.22
11110PE 205034,高爾夫球,Golf 	,"謝文偉 HSIEH, WEN-WEI",29,3.57,0.44
11110PE 205035,棒球,Baseball 	,"林琨瀚 LIN, KUN-HAN",38,3.92,0.18
11110PE 205036,網球進階,Tennis(advance) 	,"鄭為仁 CHENG, WEI-JEN",28,89.07,6.08
11110PE 205037,足球(男),football 	,"張凱翔 CHANG, KAI-HSIANG",38,3.87,0.26
11110PE 205038,棒球,Baseball 	,"林琨瀚 LIN, KUN-HAN",36,3.93,0.20
11110PE 205039,桌球初學,Ping pong(basic) 	,"吳德成 WU, TE-CHENG",37,82.62,6.54
11110PE 205040,羽球初學,Badminton 	,"許仁豪 HSU,JEN-HAO",36,78.47,7.78
11110PE 205041,太極拳,Tai Chi 	,"張耀庭 CHANG, YAO-TING",36,3.64,0.96
11110PE 205042,瑜珈,Yoga 	,"張介 CHANG, CHIEH",41,84.68,3.76
11110PE 205043,SUP,立式划槳,"Stand up Paddle 	 ",陳國華,TAN,KOK
HWA 23,3.99,	0.33 		,"11110PE 205044 	籃球初學 Basketball(basic) 	, 盧淑雲 LU, SHU-YUN",35,3.52,0.91
11110PE 205045,空手道,Karate 	,"劉雅甄 Ya-Chen,Liu",35,75.94,6.30
11110PE 205046,籃球初學,Basketball(basic) 	,"盧淑雲 LU, SHU-YUN",40,3.89,0.28
11110PE 205047,游泳初學,Swimming(basic) 	,"李大麟 LEE, TA-LIN",32,82.19,9.99
11110PE 205048,重量訓練,Weight Training 	,"黃惠芝 HUANG, HUI-TZU",36,81.75,14.70
11110PE 205049,瑜珈,Yoga 	,"張介 CHANG, CHIEH",36,85.64,2.51
11110PE 205050,空手道,Karate 	,"劉雅甄 Ya-Chen,Liu",34,78.26,6.84
11110PE 205051,重量訓練,Weight Training 	,"邱晨然 CHIU,CHEN-JAN",40,82.83,6.36
11110PE 205052,排球,Volleyball 	,"葉煌典 HSIEH, HUANG-TIEN",44,79.20,4.72
11110PE 205053,羽球初學,Badminton 	,"朱真儀 CHU, CHEN-YI",34,84.03,8.04
11110PE 205054,柔道,Judo 	,"劉振華 FIU, CHEN-HUA",33,83.45,4.11
11110PE 205055,網球初學,Tennis(basic) 	,"鄭為仁 CHENG, WEI-JEN",32,91.00,4.99
11110PE 205056,足球(女),football 	,"陳國華 TAN KOK HWA",36,3.96,0.37
11110PE 205057,瑜珈初學,Yoga(basic) 	,"黃惠芝 HUANG, HUI-TZU",39,83.85,5.63
11110PE 205058,重量訓練,Weight Training 	,"邱晨然 CHIU,CHEN-JAN",40,84.73,4.95
11110PE 205059,排球,Volleyball 	,"葉煌典 HSIEH, HUANG-TIEN",47,80.38,4.83
11110PE 205060,羽球初學,Badminton 	,"朱真儀 CHU, CHEN-YI",31,82.10,11.82
11110PE 205061,柔道,Judo 	,"劉振華 FIU, CHEN-HUA",34,83.94,5.18
11110PE 205062,網球進階,Tennis(advance) 	,"鄭為仁 CHENG, WEI-JEN",32,90.38,4.16
11110PE 205063,足球(男),football 	,"陳國華 TAN KOK HWA",34,3.91,0.37
11110PE 205064,皮拉提斯,Pilates 	,"黃惠芝 HUANG, HUI-TZU",40,83.95,6.12
11110PE 205065,羽球初學,Badminton 	,"朱真儀 CHU, CHEN-YI",32,84.28,8.81
11110PE 205066,網球初學,Tennis(basic) 	,"邵心平 SHAO, HSIN-PING",30,4.10,0.18
11110PE 205067,羽球初學,Badminton 	,"朱真儀 CHU, CHEN-YI",32,80.19,9.87
11110PE 205068,網球初學,Tennis(basic) 	,"邵心平 SHAO, HSIN-PING",30,4.16,0.17
11110PE 205069,瑜珈提斯,Yogalates 	,"許芸榛 HSU, YUN-CHEN",39,83.97,5.13
11110PE 205070,慢壘,Softball 	,"徐志翔 HSU, CHIH-HSIANG",36,3.85,0.37
11110PE 205071,網球初學,Tennis(basic) 	,"王汶琳 WANG, WEN-LIN",30,82.70,3.74
11110PE 205072,爵士舞,Jazz Dance 	,"黃靖琄 HUANG,CHING-CHUAN",38,81.61,2.99
11110PE 205073,武術散打,Physical Training:：san da 	,"邱晨然 CHIU,CHEN-JAN",38,86.97,2.96
11110PE 205074,高爾夫球,Golf 	,"林琨瀚 LIN, KUN-HAN",27,3.94,0.12
11110PE 205075,桌球進階,Ping pong (advance) 	,"吳德成 WU, TE-CHENG",35,82.91,5.61
11110PE 205076,重量訓練,Weight Training 	,"張祐華 CHANG, YU-HUA",35,84.09,9.13
11110PE 205077,國際標準舞,Ballroom Dancing 	,"曾建嘉 ZENG JIAN-JIA",34,4.09,0.14
11110PE 205078,籃球初學,Basketball(basic) 	,"謝文偉 HSIEH, WEN-WEI",41,3.32,0.84
11110PE 205079,慢壘,Softball 	,"徐志翔 HSU, CHIH-HSIANG",38,3.67,0.45
11110PE 205080,游泳初學,Swimming(basic) 	,"施秉宏 SHIH, PING-HUNG",38,88.42,4.16
11110PE 205081,網球初學,Tennis(basic) 	,"王汶琳 WANG, WEN-LIN",30,84.23,3.79
11110PE 205082,爵士舞,Jazz Dance 	,"黃靖琄 HUANG,CHING-CHUAN",33,76.09,20.39
11110PE 205083,武術散打,Physical Training:：san da 	,"邱晨然 CHIU,CHEN-JAN",39,85.95,3.58
11110PE 205084,高爾夫球,Golf 	,"林琨瀚 LIN, KUN-HAN",29,3.92,0.20
11110PE 205085,桌球進階,Ping pong (advance) 	,"吳德成 WU, TE-CHENG",33,81.06,14.60
11110PE 205086,國際標準舞,Ballroom Dancing 	,"曾建嘉 ZENG JIAN-JIA",32,4.10,0.19
11110PE 205087,排球,Volleyball 	,"施惠方 SZU, HUI-FANG",38,85.82,5.78
11110PE 205088,桌球初學,Ping pong(basic) 	,"陳光紫 CHEN, KUANG-TZU",36,85.19,3.91
11110PE 205089,籃球初學,Basketball(basic) 	,"陳虔倖 CHEN, CHIEN-HSIN",39,84.49,5.76
11110PE 205090,水中有氧,Water aerobics 	,"汪庭緣 WANG, TING-YUAN",36,85.61,10.30
11110PE 205091,桌球初學,Ping pong(basic) 	,"陳光紫 CHEN, KUANG-TZU",38,84.63,3.17
11110PE 205092,籃球進階,Basketball(advance) 	,"陳虔倖 CHEN, CHIEN-HSIN",38,82.95,6.97
11110PE 205093,水中有氧,Water aerobics 	,"汪庭緣 WANG, TING-YUAN",35,85.14,8.37
11110PE 205094,流行舞蹈,Pop Dance 	,"黃靖琄 HUANG,CHING-CHUAN",33,80.73,5.43
11110PE 205095,重量訓練,Weight Training 	,"林琨瀚 LIN, KUN-HAN",38,3.91,0.20
11110PE 205096,螺旋有氧,Vortex Aerobics 	,"施惠方 SZU, HUI-FANG",38,85.55,6.94
11110PE 205097,舞蹈即興創作,Dance Improvisation 	,"王嬿婷 WANG, YEN-TING",37,81.89,4.46
11110PE 205098,角力,Wrestling 	,"劉振華 FIU, CHEN-HUA",40,79.20,7.11
11110PE 205099,流行舞蹈,Pop Dance 	,"黃靖琄 HUANG,CHING-CHUAN",39,84.21,2.26
11110PE 205101,羽球初學,Badminton 	,"梁嘉文 LIANG,CHIA-WEN",33,4.00,0.70
11110PE 205102,桌球初學,Ping pong(basic) 	,"何吉星 HE,CHI-HSING",36,94.28,3.23
11110PE 205103,體操,Gymnastics 	,"曾德明 TSENG, TE-MING",35,78.26,17.48
11110PE 205104,重量塑身,Weight body shape 	,"王嬿婷 WANG, YEN-TING",35,81.40,2.60
11110PE 205105,體操,Gymnastics 	,"曾德明 TSENG, TE-MING",34,76.85,17.38
11110PE 205106,桌球初學,Ping pong(basic) 	,"錢明福 CHIEN, MING-FU",27,3.86,0.41
11110PE 205107,迷你網球,Mini tennis 	,"梁嘉文 LIANG,CHIA-WEN",26,4.15,0.35
11110PE 205108,桌球初學,Ping pong(basic) 	,"錢明福 CHIEN, MING-FU",29,3.98,0.48
11110PE 205109,爵士舞,Jazz Dance 	,"黃靖琄 HUANG,CHING-CHUAN",34,80.35,6.47
11110PE 205110,有氧舞蹈,Aerobics dancing 	,"黃靖琄 HUANG,CHING-CHUAN",36,85.28,1.84
11110PE 205111,重量訓練,Weight Training 	,"黎俊彥 LI, CHUN-YEN",36,3.82,0.16
11110PE 205112,高爾夫球,Golf 	,"張嘉洲 CHANG, CHIA-CHOU",27,82.00,3.47
11110PE 205113,籃球初學,Basketball(basic) 	,"李平鴻 LEE, PING-HUNG",40,85.43,3.10
11110PE 205114,高爾夫球,Golf 	,"張嘉洲 CHANG, CHIA-CHOU",22,83.23,3.19
11110PE 205116,適應體育,Adapted Physical Education 	,"梁嘉文 LIANG,CHIA-WEN",4,4.15,0.26
11110PE 205117,重量塑身,Weight body shape 	,"王嬿婷 WANG, YEN-TING",36,82.53,3.02
11110PE 205118,舞蹈即興創作,Dance Improvisation 	,"王嬿婷 WANG, YEN-TING",25,82.36,4.03
11110PE 205119,健走與慢跑,Exercise walking and jogging 	,"梁嘉文 LIANG,CHIA-WEN",40,3.92,0.54
11110PE 205120,重量訓練,Weight Training 	,"黎俊彥 LI, CHUN-YEN",40,3.89,0.21
11110PE 205121,迷你網球,Mini tennis 	,"梁龍鏡 LIANG, LUNG-CHING",25,88.84,5.14
11110PE 205122,國防菁英體適能,National Defense Elite Physical Fitness 	,"張祐華 CHANG, YU-HUA",10,85.90,2.77
11110PE 205123,適應體育,Adapted Physical Education 	,"劉振華 FIU, CHEN-HUA",22,80.18,6.09
11110PE 205124,籃球,Basketball 	,"謝佩君 HSIEH, PEI-CHUN",23,65.65,17.14
11110PE 205125,排球,Volleyball 	,"邱得全 CHIU,TE-CHUAN",36,92.11,4.61
11110PE 205126,居家體適能運動,Physical Fitness 	,"謝佩君 HSIEH, PEI-CHUN",39,76.85,7.22
11110PE 205127,居家體適能運動,Physical Fitness 	,"謝佩君 HSIEH, PEI-CHUN",30,78.37,21.37
11110PE 205128,排球,Volleyball 	,"邱得全 CHIU,TE-CHUAN",36,88.50,6.72
11110PE 205129,排球,Volleyball 	,"邱得全 CHIU,TE-CHUAN",36,86.86,11.80
11110PE 205130,籃球,Basketball 	,"謝佩君 HSIEH, PEI-CHUN",36,66.39,13.16
11110PE 205131,籃球,Basketball 	,"謝佩君 HSIEH, PEI-CHUN",38,71.89,5.66
11110PE 205132,定向越野,Orienteering 	,"邱得全 CHIU,TE-CHUAN",35,86.86,7.08
11110PE 205133,定向越野,Orienteering 	,"邱得全 CHIU,TE-CHUAN",37,85.30,8.77
11110PE 333001,羽球校隊男,Physical Education 	,"許仁豪 HSU,JEN-HAO",16,87.94,2.88
11110PE 333002,羽球校隊女,Physical Education 	,"許仁豪 HSU,JEN-HAO",9,91.11,3.90
11110PE 333004,排球校隊男,Physical Education 	,"施惠方 SZU, HUI-FANG",21,89.10,19.94
11110PE 333006,排球校隊女,Physical Education 	,"施惠方 SZU, HUI-FANG",23,88.78,1.91
11110PE 333007,游泳校隊,Physical education 	,"施秉宏 SHIH, PING-HUNG",23,85.39,9.89
11110PE 333009,射箭校隊,Physical education 	,"體育室 ",7,87.29,1.91
11110PE 333010,拳擊校隊,Physical education 	,"體育室 ",4,87.00,2.12
11110PE 333011,籃球校隊男,Physical Education 	,"謝佩君 HSIEH, PEI-CHUN",21,80.76,19.29
11110PE 333012,籃球校隊女,Physical Education 	,"謝文偉 HSIEH, WEN-WEI",14,4.24,0.12
11110PE 333013,網球校隊男,Physical Education 	,"鄭為仁 CHENG, WEI-JEN",7,4.30,0.00
11110PE 333014,網球校隊女,Physical Education 	,"鄭為仁 CHENG, WEI-JEN",3,4.30,0.00
11110PE 333015,桌球校隊男,Physical Education 	,"吳德成 WU, TE-CHENG",21,85.00,4.63
11110PE 333016,桌球校隊女,Physical Education 	,"吳德成 WU, TE-CHENG",15,85.67,5.44
11110PE 333017,棒球校隊男,Physical Education 	,"林琨瀚 LIN, KUN-HAN",20,4.30,0.00
11110PE 333018,足球校隊男,Physical Education 	,"陳國華 TAN KOK HWA",17,3.61,1.06
11110PE 333019,田徑校隊,Physical education 	,"周宜辰 CHOU, YI-CHEN",25,3.86,0.23
11110PE 333020,手球校隊,Physical education 	,"體育室 ",12,4.30,0.00
11110PHIL501200 書報討論二,Seminar(II),	,"黃文宏 HUANG, WEN-HONG",8,4.11,0.26
11110PHIL551000 柏拉圖,Plato,	,"陳斐婷 CHEN, FEI-TING",7,2.90,1.84
11110PHIL555000 康德,Kant,	,"鄭志忠 JENG, JYH-JONG",15,3.85,0.33
