Course ID,Cource Chinese Name,Course English Name,Teacher Chinese Name,Teacher English Name,Max Student Number,GPA,Standard Deviation
11110CHEM345002 物理化學實驗二,Physical,Chemistry Laboratory (II) 	,"莊晴如 CHUANG, CHING-JU",25,3.69,0.53
11110CHEM345003 物理化學實驗二,Physical,Chemistry Laboratory (II) 	,"莊晴如 CHUANG, CHING-JU",30,3.95,0.23
11110CHEM345004 物理化學實驗二,Physical,Chemistry Laboratory (II) 	,"莊晴如 CHUANG, CHING-JU",32,3.80,0.37
11110CHEM350000 生物化學導論,Introduction,to Biochemistry 	,"余靖 YU, CHIN",70,88.94,17.28
11110CHEM423000 核磁共振光譜,Nuclear,Magnetic Resonance Spectroscopy 	,"余靖 YU, CHIN",37,84.51,17.22
11110CHEM461000 書報討論,(有機無機組),Seminar- Organic and Inorganic Chemistry 	,"胡紀如 HWU, JIH-RU",37,88.49,4.84
11110CHEM462000 書報討論,(物化分析組）,Seminar-Physical and Analytical Chemistry 	,"鄭博元 CHENG, PO-YUAN",24,86.38,6.66
11110CHEM465000 專題演講一,Colloquium,(I) 	,"江昀緯 CHIANG, YUN-WEI",9,3.62,0.93
11110CHEM480000 專題研究一,Research,on special topics 	,"指導教授 ",18,4.10,0.20
11110CHEM500000 教學實習一,Teaching,Internship (I) 	,"指導教授 ",102,4.28,0.09
11110CHEM501300 藥物化學,Pharmaceutical,Chemistry 	,"謝興邦 HSIEH, HSING-PANG",22,78.68,26.99
11110CHEM508500 雷射光電化學實驗,Laser,Chemistry Laboratory 	,"陳益佳 CHEN, I-CHIA",13,3.95,0.11
11110CHEM509500 分子光化學,Molecular,Photochemistry 	,"陳益佳 CHEN, I-CHIA",7,3.94,0.44
11110CHEM512000 生醫分析,Biomedical,Analysis 	,"陳貴通 TAN, KUI THONG",28,86.89,6.38
11110CHEM527000 有機光譜學,Spectroscopic,Methods for Organic Analysis 	,"黃郁文 HUANG, YU-WEN",35,4.03,0.24
11110CHEM536500 分離科學,Separation,Science 	,"鄂本帕偉 URBAN, PAWEL LUKASZ",18,86.89,7.88
11110CHEM543000 材料化學分析技術,Analytical,techniques for Materials Chemistry 	,"楊家銘 YANG, CHIA-MIN",21,85.48,10.20
11110CHEM545000 量子化學,Quantum,Chemistry 	,"周佳駿 CHOU, CHIA-CHUN",74,83.11,8.06
11110CHEM546000 物理化學研究技術,Experimental,Techniques in Physical Chemistry 	,"朱立岡 CHU, LI-KANG",20,88.00,8.07
11110CHEM553400 研究專題討論一,Seminar,I 	,"指導教授 ",96,4.13,0.18
11110CHEM554500 光電材料量測技術,Measurement,techniques for Optoelectronic Materials 	,"吳典霖 WU, TIEN-LIN",10,91.80,3.87
11110CHEM561000 書報討論(有機組),Seminar,- Organic Division 	,"游景晴 YU, CHING-CHING",29,81.48,6.63
11110CHEM563000 書報討論(物化組),Seminar,- Physical Chemistry Division 	,"陳益佳 CHEN, I-CHIA",23,3.72,0.49
11110CHEM565000 書報討論(無機組),Seminar,- Inorganic 	,"吳典霖 WU, TIEN-LIN",35,4.03,0.22
11110CHEM567000 書報討論(分析組),Seminar,- Analytical Chemistry Division 	,"陳貴通 TAN, KUI THONG",12,83.50,3.52
11110CHEM570000 專題演講,Colloquium,	,"江昀緯 CHIANG, YUN-WEI",136,4.10,0.27
11110CHEM586000 金屬有機合成,Metal,Organic Chemistry 	,"劉瑞雄 LIU, JUI-HSIUNG",48,86.46,7.92
11110CHEM598000 化學生物,Chemical,Biology 	,"王聖凱 WANG, SHENG-KAI",30,3.53,1.02
11110CHEM600000 化學教學實習,Teaching,Practice 	,"指導教授 ",12,3.87,1.17
11110CHEM621000 物理有機化學,Physical,Organic Chemistry 	,"林民生 HAYASHI TAMIO",12,79.50,8.56
11110CHEM622000 有機反應機構,(研),Organic Reaction Mechanism 	,"胡紀如 HWU, JIH-RU",14,82.29,13.18
11110CHEM623000 有機合成一,Organic,Synthesis (I) 	,"陳建添 CHEN, CHIEN-TIEN, 黃郁文 HUANG, YU-WEN",33,82.55,19.21
11110CHEM650000 研究專題討論一,Seminar,I 	,"指導教授 ",8,4.08,0.20
11110CHEM661000 書報討論(有機組),Seminar,- Organic Division 	,"游景晴 YU, CHING-CHING",2,87.50,5.50
11110CHEM665000 書報討論(無機組),Seminar,- Inorganic 	,"吳典霖 WU, TIEN-LIN",2,4.15,0.15
11110CHEM667000 書報討論(分析組),Seminar,- Analytical Chemistry Division 	,"陳貴通 TAN, KUI THONG",1,92.00,0.00
11110CHEM669000 書報討論(物化組),Seminar,- Physical Chemistry Division 	,"陳益佳 CHEN, I-CHIA",1,4.30,0.00
11110CL 101001,大學中文,College Chinese 	,"王月秀 WANG, YUE-SHIOU",26,3.65,0.57
11110CL 101002,大學中文,College Chinese 	,"李慈恩 LEE, TZU-EN",23,78.13,9.82
11110CL 101003,大學中文,College Chinese 	,"方俠文 FANG, SHIA-WEN",26,79.81,10.40
11110CL 101004,大學中文,College Chinese 	,"鄧怡菁 TENG, I-CHING",26,82.88,7.72
11110CL 101005,大學中文,College Chinese 	,"林家妃 LIN, CHIA-FEI",24,3.76,1.19
11110CL 101006,大學中文,College Chinese 	,"王達甫 WANG, DA-FU",26,82.50,8.14
11110CL 101007,大學中文,College Chinese 	,"李瑞竹 LEE, JUI-CHU",25,90.12,5.63
11110CL 101008,大學中文,College Chinese 	,"李東龍 LI,TUNG-LUNG",26,3.86,0.37
11110CL 101011,大學中文,College Chinese 	,"謝明憲 HSIEH, MING-HSIEN",26,3.83,0.31
11110CL 101012,大學中文,College Chinese 	,"劉盈成 LIU, YIN-GHENG",25,3.93,0.18
11110CL 101013,大學中文,College Chinese 	,"李慈恩 LEE, TZU-EN",26,81.88,6.70
11110CL 101014,大學中文,College Chinese 	,"許漢祥 HSU, HAN-HSIANG",25,3.67,0.82
11110CL 101015,大學中文,College Chinese 	,"李瑞竹 LEE, JUI-CHU",25,89.28,6.37
11110CL 101016,大學中文,College Chinese 	,"余能城 YU, NENG-CHENG",26,82.69,7.44
11110CL 101017,大學中文,College Chinese 	,"李琪琪 LEI KEI KEI",25,80.36,13.99
11110CL 101022,大學中文,College Chinese 	,"李慈恩 LEE, TZU-EN",25,81.40,6.57
11110CL 101023,大學中文,College Chinese 	,"劉盈成 LIU, YIN-GHENG",28,3.71,0.38
11110CL 101024,大學中文,College Chinese 	,"方俠文 FANG, SHIA-WEN",27,78.59,8.99
11110CL 101025,大學中文,College Chinese 	,"余能城 YU, NENG-CHENG",28,83.04,12.87
11110CL 101026,大學中文,College Chinese 	,"謝憶凡 HSIEH, I-FAN",28,85.93,14.47
11110CL 101029,大學中文,College Chinese 	,"王月秀 WANG, YUE-SHIOU",25,3.41,0.98
11110CL 101030,大學中文,College Chinese 	,"呂柏勳 LU, BO-HSUEN",23,3.74,0.98
11110CL 101031,大學中文,College Chinese 	,"林佩珊 LIN, PEI-SHAN",25,86.68,4.49
11110CL 101032,大學中文,College Chinese 	,"劉璟翰 LIU, CHING-HAN",25,3.98,0.22
11110CL 101033,大學中文,College Chinese 	,"王秋今 WANG, CHIU-CHIN",25,82.24,7.56
11110CL 101034,大學中文,College Chinese 	,"顏美琇 YEN, MEI-HSIU",25,4.24,0.15
11110CL 101035,大學中文,College Chinese 	,"鄧怡菁 TENG, I-CHING",25,76.48,13.03
11110CL 101038,大學中文,College Chinese 	,"呂柏勳 LU, BO-HSUEN",27,3.70,0.79
11110CL 101039,大學中文,College Chinese 	,"蔡幸娟 TSAI, HSING-CHUAN",27,3.86,0.63
11110CL 101040,大學中文,College Chinese 	,"鄧怡菁 TENG, I-CHING",27,81.30,10.95
11110CL 101041,大學中文,College Chinese 	,"孫立梅 SUN, LI-MEI",27,4.16,0.21
