Course ID,Cource Chinese Name,Course English Name,Teacher Chinese Name,Teacher English Name,Max Student Number,GPA,Standard Deviation
11120CHEM464000 書報討論二(物化分析組),Seminar-Physical,and Analytical Chemistry (II) 	,"陳貴通 TAN, KUI THONG",33,78.70,11.04
11120CHEM466000 專題演講二,Colloquium,(II) 	,"江昀緯 CHIANG, YUN-WEI",9,3.33,1.32
11120CHEM481000 專題研究二,Research,on special topics(Ⅱ) 	,"指導教授 ",10,4.21,0.14
11120CHEM500500 教學實習二,Teaching,Internship (II) 	,"指導教授 ",96,4.28,0.08
11120CHEM501500 同步輻射應用,Applications,of Synchrotron Radiation 	,"李耀昌 LEE, YAO-CHANG",41,82.07,5.34
11120CHEM504500 蛋白質結構與化學,Protein,Structure and Chemistry 	,"洪嘉呈 HORNG, JIA-CHERNG, 林竣偉 LIN,CHUN-WEI",26,80.62,10.07
11120CHEM504600 電化學導論及應用,Electrochemistry,Fundamentals and Applications 	,"王育恒 WANG, YU-HENG",5,3.98,0.64
11120CHEM506000 生物無機化學,Bioinorganic,Chemistry 	,"廖文峯 LIAW, WEN-FENG",26,82.69,8.85
11120CHEM506500 生物有機反應機構,Bioorganic,Reaction Mechanism 	,"洪上程 HUNG, SHANG-CHENG",7,89.14,6.27
11120CHEM507500 高等生物化學,Advanced,Biochemistry 	,"林竣偉 LIN,CHUN-WEI",4,88.50,6.02
11120CHEM524500 計算化學,Computational,Chemistry 	,"楊自雄 YANG, TZUHSIUNG",7,82.14,2.90
11120CHEM531500 電化學實驗,Electrochemistry,Laboratory 	,"王育恒 WANG, YU-HENG",5,3.68,0.50
11120CHEM538000 統計熱力學,Statistical,Thermodynamics 	,"周佳駿 CHOU, CHIA-CHUN",49,86.31,10.87
11120CHEM542000 雷射化學及光譜,Laser,Chemistry and Spectroscopy 	,"鄭博元 CHENG, PO-YUAN",12,3.74,0.18
11120CHEM549000 奈米材料化學,Nanomaterials,Chemistry 	,"黃暄益 ",17,82.76,16.67
11120CHEM550000 觸媒化學,Heterogeneous,Catalysis 	,"楊家銘 YANG, CHIA-MIN",9,86.78,8.23
11120CHEM551000 應用化學特論,Special,Topics in Applied Chemistry 	,"吳典霖 WU, TIEN-LIN",81,83.98,8.80
11120CHEM553500 研究專題討論二,Seminar,II 	,"指導教授 ",96,4.18,0.16
11120CHEM562000 書報討論(有機組),Seminar,- Organic Division 	,"胡紀如 HWU, JIH-RU",27,87.89,4.19
11120CHEM564000 書報討論(物化組),Seminar,- Physical Chemistry Division 	,"楊自雄 YANG, TZUHSIUNG",22,82.45,5.18
11120CHEM566000 書報討論(無機組),Seminar,- Inorganic 	,"廖文峯 LIAW, WEN-FENG",35,86.94,1.69
11120CHEM568000 書報討論(分析組),Seminar,- Analytical Chemistry Division 	,"鄂本帕偉 URBAN, PAWEL LUKASZ",11,95.73,5.21
11120CHEM570000 專題演講,Colloquium,	,"江昀緯 CHIANG, YUN-WEI",129,4.11,0.30
11120CHEM578500 同相催化,Homogeneous,Catalysis 	,"劉瑞雄 LIU, JUI-HSIUNG",11,90.18,9.07
11120CHEM592000 有機半導體導論,Introduction,to Organic Semiconductors 	,"吳典霖 WU, TIEN-LIN",33,87.55,10.05
11120CHEM598000 化學生物二,Chemical,Biology Ⅱ 	,"林俊成 LIN, CHUN-CHENG, 王聖凱 WANG, SHENG-KAI",14,3.73,0.45
11120CHEM620000 化學教學實習,Teaching,Practice 	,"指導教授 ",10,4.24,0.12
11120CHEM624000 有機合成二,Organic,Synthesis (II) 	,"黃郁文 HUANG, YU-WEN",16,4.08,0.25
11120CHEM651000 研究專題討論二,Seminar,II 	,"指導教授 ",12,4.13,0.15
11120CHEM662000 書報討論(有機組),Seminar,- Organic Division 	,"胡紀如 HWU, JIH-RU",1,73.00,0.00
11120CHEM663000 書報討論(物化組),Seminar,- Physical Chemistry Division 	,"楊自雄 YANG, TZUHSIUNG",1,91.00,0.00
11120CHEM666000 書報討論(無機組),Seminar,- Inorganic 	,"廖文峯 LIAW, WEN-FENG",5,82.40,11.25
11120CHEM668000 書報討論(分析組),Seminar,- Analytical Chemistry Division 	,"鄂本帕偉 URBAN, PAWEL LUKASZ",3,94.67,3.86
11120CHSS200100 經典學思行,Reading,Classics: Reflection and Practice 	,"李卓穎 LI, CHO-YING",12,76.17,10.71
11120CL 102001,大學中文,College Chinese 	,"王月秀 WANG, YUE-SHIOU",23,3.49,0.70
11120CL 102002,大學中文,College Chinese 	,"劉盈成 LIU, YIN-GHENG",24,3.94,0.17
11120CL 102003,大學中文,College Chinese 	,"黃鈴棋 HUANG, LING-CHI",22,3.50,0.89
11120CL 102004,大學中文,College Chinese 	,"李東龍 LI,TUNG-LUNG",24,4.09,0.20
11120CL 102005,大學中文,College Chinese 	,"許漢祥 HSU, HAN-HSIANG",12,4.13,0.15
11120CL 102007,大學中文,College Chinese 	,"謝明憲 HSIEH, MING-HSIEN",21,3.45,1.06
11120CL 102008,大學中文,College Chinese 	,"劉盈成 LIU, YIN-GHENG",24,3.87,0.28
11120CL 102009,大學中文,College Chinese 	,"李慈恩 LEE, TZU-EN",25,80.00,12.03
11120CL 102010,大學中文,College Chinese 	,"鄧怡菁 TENG, I-CHING",23,82.39,9.17
11120CL 102011,大學中文,College Chinese 	,"李瑞竹 LEE, JUI-CHU",23,83.39,6.51
11120CL 102014,大學中文,College Chinese 	,"方俠文 FANG, SHIA-WEN",25,81.36,7.42
11120CL 102015,大學中文,College Chinese 	,"呂柏勳 LU, BO-HSUEN",25,3.90,0.45
11120CL 102016,大學中文,College Chinese 	,"劉芷瑋 LIU, CHI-WEI, 楊孝柔 YANG, HSIAO-JOU",23,3.42,1.26
11120CL 102017,大學中文,College Chinese 	,"鄧怡菁 TENG, I-CHING",21,82.29,11.74
11120CL 102018,大學中文,College Chinese 	,"劉璟翰 LIU, CHING-HAN",24,3.99,0.24
11120CL 102019,大學中文,College Chinese 	,"莊勝涵 CHUANG, SHENG-HAN",15,3.59,0.62
11120CL 102021,大學中文,College Chinese 	,"李慈恩 LEE, TZU-EN",24,82.33,5.70
11120CL 102022,大學中文,College Chinese 	,"呂柏勳 LU, BO-HSUEN",25,3.70,0.94
11120CL 102023,大學中文,College Chinese 	,"劉芷瑋 LIU, CHI-WEI, 楊孝柔 YANG, HSIAO-JOU",23,3.80,0.50
11120CL 102024,大學中文,College Chinese 	,"李瑞竹 LEE, JUI-CHU",22,80.64,13.76
11120CL 102025,大學中文,College Chinese 	,"王秋今 WANG, CHIU-CHIN",25,83.96,6.83
11120CL 102026,大學中文,College Chinese 	,"張穎 GHANG, YING",22,84.05,11.12
11120CL 102029,大學中文,College Chinese 	,"江曉輝 KONH, HIU-FAI",24,78.58,4.97
11120CL 102030,大學中文,College Chinese 	,"朱芯儀 CHU, HSIN-I",25,82.88,3.97
11120CL 102031,大學中文,College Chinese 	,"王達甫 WANG, DA-FU",14,83.36,7.82
11120CL 102032,大學中文,College Chinese 	,"郭俐君 GUO,LI-JYUN",25,83.68,11.37
11120CL 102035,大學中文,College Chinese 	,"江曉輝 KONH, HIU-FAI",25,81.92,3.26
11120CL 102036,大學中文,College Chinese 	,"朱芯儀 CHU, HSIN-I",24,85.00,4.00
11120CL 102037,大學中文,College Chinese 	,"余能城 YU, NENG-CHENG",24,3.71,0.44
11120CL 102038,大學中文,College Chinese 	,"郭俐君 GUO,LI-JYUN",20,81.65,11.02
11120CL 102040,大學中文,College Chinese 	,"蔡幸娟 TSAI, HSING-CHUAN",24,3.86,0.58
11120CL 102041,大學中文,College Chinese 	,"許漢祥 HSU, HAN-HSIANG",25,3.69,0.85
11120CL 102042,大學中文,College Chinese 	,"劉璟翰 LIU, CHING-HAN",25,4.09,0.22
